,K,acc,precision,recall,f1
62,4300,0.3691964285714286,0.3609313522854686,0.36919642857142854,0.3350156418594442
63,4300,0.3767857142857143,0.3645764878868077,0.3767857142857143,0.34183841461471365
64,4300,0.3879464285714286,0.38249429768191945,0.3879464285714286,0.3476010482232661
65,4650,0.3796875,0.36944470772384397,0.37968750000000007,0.3447923306926679
66,4650,0.37745535714285716,0.36669809287866584,0.37745535714285716,0.34419314909468657
67,4650,0.36361607142857144,0.35408426586296554,0.36361607142857144,0.3311926619662199
68,4650,0.375,0.36436804820242524,0.375,0.3421634347362636
69,4650,0.3736607142857143,0.3653740121755027,0.37366071428571423,0.3351282729042732
70,5000,0.37611607142857145,0.3673766886079589,0.3761160714285714,0.34281806666854675
71,5000,0.38058035714285715,0.3766869628555066,0.3805803571428571,0.3470667245699346
72,5000,0.3674107142857143,0.3653845920891112,0.36741071428571426,0.33719305347369655
73,5000,0.38125,0.3683578565864061,0.38125,0.3453058408280875
74,5000,0.3665178571428571,0.3622011607319816,0.3665178571428571,0.32815327270093764
