,K,acc,precision,recall,f1
29,1850,0.35200892857142857,0.31717102637718386,0.35200892857142857,0.29463905825911463
30,2200,0.38705357142857144,0.3545606713073694,0.38705357142857144,0.3404083668680463
31,2200,0.3747767857142857,0.32877834914846626,0.37477678571428574,0.32225676221346145
32,2200,0.35848214285714286,0.3349614340009195,0.35848214285714286,0.31017287419194317
33,2200,0.35714285714285715,0.3230752921111003,0.3571428571428571,0.30362065525453263
34,2200,0.36227678571428573,0.33528942555908536,0.3622767857142857,0.31207786610835314
35,2550,0.375,0.355748837138748,0.375,0.3286292417707358
36,2550,0.3888392857142857,0.34186965090216637,0.3888392857142857,0.3329720237347472
37,2550,0.37455357142857143,0.3465656739309147,0.37455357142857143,0.3327660354421892
38,2550,0.3698660714285714,0.3550376183799689,0.3698660714285714,0.32223917517261846
39,2550,0.3776785714285714,0.3549925566742933,0.3776785714285714,0.32870330065148984
40,2900,0.3825892857142857,0.36377045846794465,0.38258928571428574,0.33909049711948447
41,2900,0.3830357142857143,0.36249247911479454,0.38303571428571426,0.3428866149610281
42,2900,0.378125,0.3491855756473623,0.378125,0.3354405784446437
43,2900,0.3794642857142857,0.3764830205192732,0.3794642857142857,0.34086819619091935
44,2900,0.3736607142857143,0.3436733403840617,0.3736607142857143,0.3262423312557548
45,3250,0.3861607142857143,0.3727024405318272,0.3861607142857143,0.34829080528800743
46,3250,0.39799107142857143,0.3754773508590045,0.39799107142857143,0.35923780321141807
47,3250,0.37410714285714286,0.34704262270648234,0.37410714285714286,0.3326303417065801
48,3250,0.3736607142857143,0.35177726779750146,0.3736607142857143,0.32804218452434825
49,3250,0.38504464285714285,0.3655721426602409,0.38504464285714285,0.34126533471859777
50,3600,0.38973214285714286,0.37371624739296405,0.38973214285714286,0.34884547859796644
51,3600,0.3854910714285714,0.3712476180464621,0.3854910714285714,0.34820291008198373
52,3600,0.3752232142857143,0.34906194370087973,0.37522321428571426,0.3339600587111804
53,3600,0.37142857142857144,0.35932939974997863,0.37142857142857144,0.33115704994229767
54,3600,0.3732142857142857,0.3474737257732774,0.3732142857142857,0.3302878822712809
55,3950,0.3723214285714286,0.3636432076789249,0.3723214285714286,0.33753446758816136
56,3950,0.38660714285714287,0.3717802432169346,0.3866071428571428,0.3484250816662082
57,3950,0.38392857142857145,0.3729751933551628,0.38392857142857145,0.3508055125717287
58,3950,0.35558035714285713,0.3487222870089475,0.35558035714285713,0.32098431676048245
59,3950,0.3625,0.3446048127773103,0.3625,0.3164297567205279
60,4300,0.38191964285714286,0.37561229197967944,0.38191964285714286,0.35056797508881765
61,4300,0.37790178571428573,0.36364659782327013,0.3779017857142857,0.34149071730082153
62,4300,0.3794642857142857,0.3695188219646891,0.37946428571428575,0.3441521813283953
63,4300,0.36875,0.3610550210409086,0.36875,0.3352984365352797
64,4300,0.3651785714285714,0.35770619962212624,0.3651785714285714,0.3295967016606382
65,4650,0.3859375,0.38069485217322085,0.3859375,0.3509518502132294
66,4650,0.3716517857142857,0.3629759717074382,0.3716517857142857,0.3396084149799711
67,4650,0.3756696428571429,0.36104782915336486,0.3756696428571429,0.34086023949697497
68,4650,0.3566964285714286,0.3610621744046107,0.3566964285714286,0.3275545647672028
69,4650,0.36294642857142856,0.35792448518233366,0.36294642857142856,0.32328570265332707
70,5000,0.37611607142857145,0.3673766886079589,0.3761160714285714,0.34281806666854675
71,5000,0.38058035714285715,0.3766869628555066,0.3805803571428571,0.3470667245699346
72,5000,0.3674107142857143,0.3653845920891112,0.36741071428571426,0.33719305347369655
73,5000,0.38125,0.3683578565864061,0.38125,0.3453058408280875
74,5000,0.3665178571428571,0.3622011607319816,0.3665178571428571,0.32815327270093764
