,K,acc,precision,recall,f1
52,3600,0.3732142857142857,0.3684261298549386,0.37321428571428567,0.33911844733209384
53,3600,0.36964285714285716,0.3736380021848188,0.36964285714285716,0.33634476894625825
54,3600,0.37075892857142856,0.382076496953021,0.37075892857142856,0.3369090840493715
55,3950,0.3747767857142857,0.3719098381676065,0.37477678571428574,0.3391900835518714
56,3950,0.38638392857142856,0.37587318494089983,0.38638392857142856,0.34898282443750606
57,3950,0.37254464285714284,0.36185671161439437,0.37254464285714284,0.3356797435368909
58,3950,0.37611607142857145,0.3752174656770443,0.37611607142857145,0.3447633545263425
59,3950,0.3645089285714286,0.35878718161764933,0.3645089285714286,0.32512804591519157
60,4300,0.38683035714285713,0.37492085758138666,0.38683035714285713,0.3494777481584362
61,4300,0.38705357142857144,0.37351310175752434,0.38705357142857144,0.35068192327259373
62,4300,0.38392857142857145,0.38046235223940783,0.3839285714285714,0.35000056784420175
63,4300,0.37209821428571427,0.35867985279710557,0.37209821428571427,0.3348682958309891
64,4300,0.36183035714285716,0.35872053591435316,0.36183035714285716,0.32294252944514656
65,4650,0.38392857142857145,0.381355144067241,0.3839285714285714,0.3504349487608428
66,4650,0.37857142857142856,0.36565460997443866,0.37857142857142856,0.34069203084742206
67,4650,0.3716517857142857,0.3681096762481059,0.3716517857142857,0.3406337466138776
68,4650,0.3886160714285714,0.3775773594410377,0.3886160714285714,0.3533304825747746
69,4650,0.3783482142857143,0.3780375880103987,0.3783482142857143,0.3396794024953166
70,5000,0.38504464285714285,0.3828654382460205,0.3850446428571429,0.3503725599043961
71,5000,0.3794642857142857,0.37468664961101283,0.3794642857142857,0.3452931271753531
72,5000,0.3723214285714286,0.3681000632295863,0.3723214285714286,0.340733606124057
73,5000,0.3698660714285714,0.36504806661775857,0.3698660714285714,0.3358564159149037
74,5000,0.3723214285714286,0.374562023266067,0.3723214285714286,0.3360806162697171
